draw_type,draw_date,draw_number,digits,source,number
evening,2025-06-13,2148.0,"(1, 3, 4)",1 year of data 2025 - 2026.xlsx,1-3-4
evening,2025-06-12,2146.0,"(3, 6, 6)",1 year of data 2025 - 2026.xlsx,3-6-6
evening,2025-06-11,2144.0,"(7, 0, 4)",1 year of data 2025 - 2026.xlsx,7-0-4
evening,2025-06-10,2142.0,"(3, 1, 1)",1 year of data 2025 - 2026.xlsx,3-1-1
evening,2025-06-09,2140.0,"(5, 4, 3)",1 year of data 2025 - 2026.xlsx,5-4-3
evening,2025-06-08,2138.0,"(8, 6, 6)",1 year of data 2025 - 2026.xlsx,8-6-6
evening,2025-06-07,2136.0,"(8, 7, 5)",1 year of data 2025 - 2026.xlsx,8-7-5
evening,2025-06-06,2134.0,"(1, 5, 7)",1 year of data 2025 - 2026.xlsx,1-5-7
evening,2025-06-05,2132.0,"(2, 8, 8)",1 year of data 2025 - 2026.xlsx,2-8-8
evening,2025-06-04,2130.0,"(7, 3, 2)",1 year of data 2025 - 2026.xlsx,7-3-2
evening,2025-06-03,2128.0,"(4, 4, 7)",1 year of data 2025 - 2026.xlsx,4-4-7
evening,2025-06-02,2126.0,"(9, 6, 0)",1 year of data 2025 - 2026.xlsx,9-6-0
evening,2025-06-01,2124.0,"(8, 9, 9)",1 year of data 2025 - 2026.xlsx,8-9-9
evening,2025-05-31,2122.0,"(9, 7, 9)",1 year of data 2025 - 2026.xlsx,9-7-9
evening,2025-05-30,2120.0,"(3, 1, 0)",1 year of data 2025 - 2026.xlsx,3-1-0
evening,2025-05-29,2118.0,"(8, 0, 1)",1 year of data 2025 - 2026.xlsx,8-0-1
evening,2025-05-28,2116.0,"(7, 5, 2)",1 year of data 2025 - 2026.xlsx,7-5-2
evening,2025-05-27,2114.0,"(7, 1, 2)",1 year of data 2025 - 2026.xlsx,7-1-2
evening,2025-05-26,2112.0,"(2, 9, 1)",1 year of data 2025 - 2026.xlsx,2-9-1
evening,2025-05-25,2110.0,"(5, 3, 5)",1 year of data 2025 - 2026.xlsx,5-3-5
evening,2025-05-24,2108.0,"(8, 1, 5)",1 year of data 2025 - 2026.xlsx,8-1-5
evening,2025-05-23,2106.0,"(9, 5, 1)",1 year of data 2025 - 2026.xlsx,9-5-1
evening,2025-05-22,2104.0,"(3, 8, 2)",1 year of data 2025 - 2026.xlsx,3-8-2
evening,2025-05-21,2102.0,"(6, 0, 0)",1 year of data 2025 - 2026.xlsx,6-0-0
evening,2025-05-20,2100.0,"(3, 3, 3)",1 year of data 2025 - 2026.xlsx,3-3-3
evening,2025-05-19,2098.0,"(1, 4, 2)",1 year of data 2025 - 2026.xlsx,1-4-2
evening,2025-05-18,2096.0,"(3, 9, 9)",1 year of data 2025 - 2026.xlsx,3-9-9
evening,2025-05-17,2094.0,"(7, 0, 3)",1 year of data 2025 - 2026.xlsx,7-0-3
evening,2025-05-16,2092.0,"(6, 6, 9)",1 year of data 2025 - 2026.xlsx,6-6-9
evening,2025-05-15,2090.0,"(9, 7, 1)",1 year of data 2025 - 2026.xlsx,9-7-1
evening,2025-05-14,2088.0,"(7, 9, 1)",1 year of data 2025 - 2026.xlsx,7-9-1
evening,2025-05-13,2086.0,"(2, 6, 9)",1 year of data 2025 - 2026.xlsx,2-6-9
